
User chuck 2020-02-24 at 12:28:21 PST logged into system.
User chuck logged into system at: 2020-02-24 at 12:30:22 PST
User test logged into system at: 2020-02-24 at 13:56:39 PST
User test logged into system at: 2020-02-24 at 14:03:05 PST
User test logged into system at: 2020-02-24 at 14:12:19 PST
User test logged into system at: 2020-02-24 at 14:43:56 PST
User test logged into system at: 2020-02-24 at 14:45:10 PST
User test logged into system at: 2020-02-24 at 14:50:03 PST
User test logged into system at: 2020-02-24 at 15:07:05 PST
User test logged into system at: 2020-02-24 at 16:43:11 PST
User chuck logged into system at: 2020-02-24 at 17:28:01 PST
User test logged into system at: 2020-02-24 at 17:35:29 PST
User test logged into system at: 2020-02-24 at 17:39:38 PST
User test logged into system at: 2020-02-24 at 17:42:32 PST
User test logged into system at: 2020-02-24 at 17:44:34 PST
User test logged into system at: 2020-02-24 at 17:50:02 PST
User test logged into system at: 2020-02-24 at 17:51:14 PST
User test logged into system at: 2020-02-24 at 18:19:13 PST
User chuck logged into system at: 2020-02-24 at 18:22:59 PST
User test logged into system at: 2020-02-24 at 19:54:28 PST
User test logged into system at: 2020-02-24 at 20:02:02 PST
User test logged into system at: 2020-02-24 at 20:03:37 PST
User test logged into system at: 2020-02-24 at 20:05:11 PST
User chuck logged into system at: 2020-02-24 at 20:07:41 PST
User chuck logged into system at: 2020-02-24 at 20:10:11 PST
User chuck logged into system at: 2020-02-24 at 20:22:41 PST
User test logged into system at: 2020-02-24 at 20:23:58 PST
User test logged into system at: 2020-02-24 at 20:27:28 PST
User test logged into system at: 2020-02-24 at 21:04:54 PST
User test logged into system at: 2020-02-24 at 21:15:03 PST
User test logged into system at: 2020-02-24 at 21:16:06 PST
User test logged into system at: 2020-02-24 at 21:18:24 PST
User test logged into system at: 2020-02-24 at 21:23:26 PST
User test logged into system at: 2020-02-24 at 21:28:02 PST
User test logged into system at: 2020-02-24 at 22:02:43 PST
User test logged into system at: 2020-02-24 at 22:21:10 PST
User test logged into system at: 2020-02-25 at 01:23:55 EST
User test logged into system at: 2020-02-24 at 22:44:05 PST
User test logged into system at: 2020-02-24 at 22:47:57 PST
User test logged into system at: 2020-02-24 at 22:54:35 PST
User test logged into system at: 2020-02-24 at 22:59:41 PST
User test logged into system at: 2020-02-24 at 23:18:47 PST
User test logged into system at: 2020-02-24 at 23:24:38 PST
User test logged into system at: 2020-02-24 at 23:32:30 PST
User test logged into system at: 2020-02-24 at 23:42:44 PST
User test logged into system at: 2020-02-24 at 23:45:04 PST
User test logged into system at: 2020-02-25 at 00:01:24 PST
User test logged into system at: 2020-02-25 at 00:22:21 PST
User test logged into system at: 2020-02-25 at 00:25:25 PST
User test logged into system at: 2020-02-25 at 00:29:03 PST
User test logged into system at: 2020-02-25 at 00:31:28 PST
User test logged into system at: 2020-02-25 at 00:34:28 PST
User test logged into system at: 2020-02-25 at 00:38:12 PST
User test logged into system at: 2020-02-25 at 00:45:38 PST
User test logged into system at: 2020-02-25 at 01:03:31 PST
User test logged into system at: 2020-02-25 at 01:06:10 PST
User test logged into system at: 2020-02-25 at 01:09:31 PST
User test logged into system at: 2020-02-25 at 01:10:10 PST
User test logged into system at: 2020-02-25 at 01:19:58 PST
User test logged into system at: 2020-02-25 at 01:20:47 PST
User test logged into system at: 2020-02-25 at 01:22:36 PST
User test logged into system at: 2020-02-25 at 01:25:09 PST
User test logged into system at: 2020-02-25 at 01:37:58 PST
User test logged into system at: 2020-02-25 at 01:41:26 PST
User test logged into system at: 2020-02-25 at 01:58:50 PST
User chuck logged into system at: 2020-02-25 at 02:02:55 PST
User test logged into system at: 2020-02-25 at 02:13:41 PST
